ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
358ED720AFD7C8CB,classic_bike,2025-01-17 22:15:05.418,2025-01-17 22:16:09.22,Michigan Ave & 8th St,623,Michigan Ave & 8th St,623,41.872773,-87.623981,41.872773,-87.623981,casual
21541548CF3FF7D1,classic_bike,2025-01-05 11:14:12.705,2025-01-05 11:27:14.957,Woodlawn Ave & 55th St,TA1307000164,Woodlawn Ave & 55th St,TA1307000164,41.795264,-87.596471,41.795264,-87.596471,casual
D09E525EB019E3E8,electric_bike,2025-01-23 13:29:09.289,2025-01-23 13:43:54.168,Woodlawn Ave & 55th St,TA1307000164,Woodlawn Ave & 55th St,TA1307000164,41.795264,-87.596471,41.795264,-87.596471,casual
3AD12C150A88E79E,electric_bike,2025-01-28 16:23:50.91,2025-01-28 16:27:59.532,Racine Ave & Belmont Ave,TA1308000019,Racine Ave & Fullerton Ave,TA1306000026,41.939743,-87.658865,41.925566,-87.658416,casual
D36106CA93DC1B8C,electric_bike,2025-01-12 15:29:43.347,2025-01-12 15:37:16.628,Woodlawn Ave & 55th St,TA1307000164,Woodlawn Ave & 55th St,TA1307000164,41.795264,-87.596471,41.795264,-87.596471,casual
27064F31728CCFE3,classic_bike,2025-01-31 00:05:00.305,2025-01-31 00:11:18.178,Racine Ave & Fullerton Ave,TA1306000026,Racine Ave & Belmont Ave,TA1308000019,41.925566,-87.658416,41.939743,-87.658865,casual
2FA0F717FE44CBFC,electric_bike,2025-01-16 11:54:17.237,2025-01-16 12:16:33.433,Dusable Harbor,KA1503000064,Racine Ave & Belmont Ave,TA1308000019,41.886875272,-87.612841845,41.939743,-87.658865,member
91CA4C9E6F9244F8,electric_bike,2025-01-08 11:29:44.53,2025-01-08 11:32:33.343,Woodlawn Ave & 58th St,22002,Woodlawn Ave & 55th St,TA1307000164,41.789381,-87.596479,41.795264,-87.596471,member
75C473A31E8826EE,electric_bike,2025-01-27 06:50:31.864,2025-01-27 06:58:32.381,New St & Illinois St,TA1306000013,Milwaukee Ave & Grand Ave,13033,41.890847040623804,-87.61861681938171,41.891578,-87.648384,member
6AA10BF0999EFE93,electric_bike,2025-01-16 06:55:50.206,2025-01-16 07:03:22.831,New St & Illinois St,TA1306000013,Milwaukee Ave & Grand Ave,13033,41.890847040623804,-87.61861681938171,41.891578,-87.648384,member
6635BF7D26E33A91,electric_bike,2025-01-02 16:09:36.087,2025-01-02 16:12:20.817,Clifton Ave & Armitage Ave,TA1307000163,Racine Ave & Fullerton Ave,TA1306000026,41.918216,-87.656936,41.925566,-87.658416,member
A603CF3D12237FB8,classic_bike,2025-01-28 08:17:52.017,2025-01-28 08:29:19.372,Western Ave & Winnebago Ave,13068,Artesian Ave & Hubbard St,15664,41.91552,-87.687022,41.8895,-87.688257,member
D1F20AD76F5D2A13,classic_bike,2025-01-30 08:21:01.311,2025-01-30 08:34:40.452,Western Ave & Winnebago Ave,13068,Artesian Ave & Hubbard St,15664,41.91552,-87.687022,41.8895,-87.688257,member
6D4CE41139A77CD5,classic_bike,2025-01-29 07:20:58.851,2025-01-29 07:32:40.901,Western Ave & Winnebago Ave,13068,Artesian Ave & Hubbard St,15664,41.91552,-87.687022,41.8895,-87.688257,member
F8C41696DB2EECF8,electric_bike,2025-01-16 21:31:54.235,2025-01-16 21:42:22.892,Broadway & Cornelia Ave,13278,Racine Ave & Fullerton Ave,TA1306000026,41.945529,-87.646439,41.925566,-87.658416,member
C544AFB54FB96B3D,electric_bike,2025-01-25 22:15:48.128,2025-01-25 22:19:14.417,Ellis Ave & 58th St,TA1309000011,Woodlawn Ave & 55th St,TA1307000164,41.788746,-87.601334,41.795264,-87.596471,member
